1 (721.000000,659.000000) (43.000000,43.000000) Circle Balletje white
1 (101.000000,103.000000) (50.000000,50.000000) Circle Balletje white
1 (101.000000,167.000000) (43.000000,43.000000) Circle Balletje white
1 (587.000000,610.000000) (50.000000,50.000000) Circle Balletje white
1 (537.000000,640.000000) (43.000000,43.000000) Circle Balletje white
1 (133.000000,266.000000) (50.000000,50.000000) Circle Balletje white
1 (658.000000,643.000000) (43.000000,43.000000) Circle Balletje white
1 (108.000000,224.000000) (50.000000,50.000000) Circle Balletje white
1 (182.000000,332.000000) (200.000000,400.000000) Rectangle Balletje white
1 (559.000000,581.000000) (50.000000,100.000000) Rectangle Balletje white
1 (808.000000,608.000000) (0.200000,0.200000) Sprite Sojiro img/sojiro.png
1 (199.000000,399.000000) (0.300000,0.200000) Sprite Sojiro img/sojiro.png
1 (362.000000,384.000000) (200.000000,200.000000) Line lijntje white
0
